Rhonda Ltd,2023,2022,2021,2020,2019
Total Insurable Value,180000000,4000000,4000000,4000000,4000000
Property Damage,18000000,9000000,4000000,4000000,4000000
Business Interruption,30000000,20000000,4000000,4000000,4000000
Policy Limit,13000000,14000000,4000000,4000000,4000000
Gross Written Premium,15000000,8000000,4000000,4000000,4000000
Base Rate %,0.15,0.08,0.40,0.04,0.024
Claims Total,15000000,8000000,4000000,4000000,4000000
Loss ratio %,15,80,40,50,35
Technical Adequacy %,15,80,40,52,74
Modelled Results (AAL),15000000,8000000,4000000,4000000,4000000
