company_id,year,tiv,property_damage,business_interruption,policy_limit,gwp,base_rate,claims_total,loss_ratio,technical_adequacy,modelled_results_aal
1,2023,180000000,18000000,30000000,13000000,15000000,0.15,15000000,15,15,15000000
1,2022,4000000,9000000,20000000,14000000,8000000,0.08,8000000,80,80,8000000
1,2021,4000000,4000000,4000000,4000000,4000000,0.40,4000000,40,40,4000000
1,2020,4000000,4000000,4000000,4000000,4000000,0.04,4000000,50,52,4000000
1,2019,4000000,4000000,4000000,4000000,4000000,0.024,4000000,35,74,4000000
2,2023,175000000,18500000,31000000,13500000,15500000,0.16,15500000,14,16,15200000
2,2022,3900000,9100000,21000000,14500000,8100000,0.09,8100000,82,81,8100000
2,2021,3950000,4050000,4050000,4050000,4050000,0.39,4050000,42,38,4080000
2,2020,4050000,4050000,4050000,4050000,4050000,0.05,4050000,53,54,4080000
2,2019,4150000,4050000,4050000,4050000,4050000,0.034,4050000,37,36,4080000
3,2023,178000000,18000000,30000000,13000000,15000000,0.14,15000000,17,17,15100000
3,2022,4100000,8900000,19000000,13000000,7900000,0.09,7900000,79,78,7900000
3,2021,3800000,4100000,4100000,4100000,4100000,0.42,4100000,40,41,4080000
3,2020,3950000,3950000,3950000,3950000,3950000,0.04,3950000,48,47,3980000
3,2019,3850000,3950000,3950000,3950000,3950000,0.028,3950000,31,34,3980000
4,2023,185000000,19000000,32000000,14000000,16000000,0.17,16000000,15,18,15800000
4,2022,3950000,9200000,22000000,15000000,8200000,0.08,8200000,83,80,8200000
4,2021,3850000,3950000,3950000,3950000,3950000,0.35,3950000,45,43,3980000
4,2020,4150000,4150000,4150000,4150000,4150000,0.045,4150000,56,57,4180000
4,2019,4200000,4150000,4150000,4150000,4150000,0.031,4150000,39,39,4180000
5,2023,180000000,19000000,32000000,14000000,16000000,0.16,16000000,16,17,15800000
5,2022,4000000,9200000,22000000,15000000,8200000,0.08,8200000,80,81,8200000
5,2021,3900000,4100000,4100000,4100000,4100000,0.38,4100000,44,45,4080000
5,2020,4200000,4200000,4200000,4200000,4200000,0.04,4200000,55,56,4180000
5,2019,4250000,4200000,4200000,4200000,4200000,0.03,4200000,38,37,4180000
